0.41	5.260	5.179	5.09	5.62	4.83	4.84	4.43	5.79	4.25	5.036	4.61	5.159 	5.35	5.90	5.87
0.42	5.410	5.346	5.26	5.77	4.95	5.03	4.62	5.96	4.39	5.174	4.77	5.307 	5.49	6.10	6.02
0.43	5.530	5.476	5.35	5.90	5.09	5.14	4.74	6.12	4.57	5.311	4.97	5.390 	5.63	6.20	6.19
0.44	5.670	5.622	5.53	6.05	5.22	5.28	4.90	6.29	4.76	5.484	5.08	5.518 	5.77	6.30	6.36
0.45	5.790	5.732	5.72	6.19	5.42	5.44	5.03	6.45	4.97	5.656	5.24	5.652 	5.91	6.50	6.56
0.46	5.950	5.856	5.91	6.32	5.57	5.60	5.19	6.61	5.10	5.794	5.40	5.767 	6.05	6.70	6.73
0.47	6.080	6.022	6.06	6.42	5.75	5.78	5.35	6.78	5.30	6.000	5.64	5.981 	6.21	6.80	6.84
0.48	6.250	6.171	6.19	6.63	5.90	5.94	5.52	6.94	5.48	6.138	5.82	6.118 	6.36	6.90	6.98
0.49	6.410	6.299	6.41	6.84	6.03	6.09	5.66	7.11	5.67	6.310	5.88	6.263 	6.52	7.10	7.13
0.5	6.570	6.426	6.48	6.96	6.17	6.26	5.84	7.28	5.92	6.482	6.13	6.389 	6.68	7.20	7.28
0.51	6.740	6.617	6.75	7.10	6.29	6.40	6.05	7.44	6.05	6.655	6.28	6.547 	6.83	7.40	7.44
0.52	6.910	6.751	6.84	7.21	6.40	6.57	6.23	7.62	6.21	6.827	6.45	6.741 	6.99	7.50	7.61
0.53	7.050	6.878	7.10	7.35	6.59	6.74	6.44	7.79	6.39	6.999	6.56	6.926 	7.15	7.70	7.78
0.54	7.190	7.037	7.30	7.57	6.72	6.92	6.60	7.97	6.65	7.137	6.74	7.113 	7.32	7.80	7.93
0.55	7.350	7.239	7.55	7.69	6.89	7.07	6.76	8.15	6.80	7.275	6.93	7.212 	7.48	8.00	8.12
0.56	7.510	7.391	7.65	7.89	7.08	7.25	6.91	8.34	6.97	7.412	7.14	7.341 	7.64	8.20	8.31
0.57	7.680	7.577	7.74	8.07	7.23	7.44	7.13	8.52	7.21	7.550	7.39	7.476 	7.81	8.30	8.49
0.58	7.840	7.706	7.88	8.14	7.39	7.60	7.34	8.71	7.39	7.688	7.63	7.643 	7.97	8.50	8.63
0.59	8.000	7.866	8.19	8.46	7.58	7.76	7.58	8.91	7.59	7.791	7.77	7.792 	8.13	8.70	8.78
0.6	8.160	8.035	8.43	8.63	7.76	7.93	7.77	9.10	7.74	7.963	7.91	7.961 	8.30	8.90	9.00
0.61	8.320	8.215	8.54	8.85	7.93	8.12	7.97	9.30	7.93	8.101	8.02	8.098 	8.47	9.00	9.18
0.62	8.460	8.427	8.90	8.98	8.14	8.34	8.13	9.49	8.18	8.239	8.31	8.272 	8.63	9.20	9.34
0.63	8.640	8.573	8.99	9.20	8.34	8.57	8.30	9.70	8.30	8.446	8.46	8.453 	8.80	9.40	9.53
